23,97,59,89,1
33,53,47,69,1
32,55,85,84,1
28,20,78,66,0
10,28,78,31,0
25,43,70,44,0
18,41,69,33,1
29,20,47,68,1
22,31,70,41,1
40,97,57,57,0
25,63,54,83,1
12,40,87,55,0
25,30,41,57,0
38,96,54,79,0
23,59,55,43,0
33,94,49,87,0
31,51,82,60,1
22,62,51,52,1
15,62,86,59,0
37,78,75,83,0
26,21,71,51,0
40,62,58,90,1
18,35,54,41,0
29,86,48,60,0
18,64,60,43,0
27,72,69,74,1
36,64,62,61,1
23,95,58,63,1
23,76,45,63,1
35,68,66,77,1
12,51,67,42,0
27,26,68,62,0
32,75,89,50,0
28,88,80,61,0
27,81,80,79,1
19,44,77,57,0
23,62,46,61,0
24,84,87,56,1
11,66,72,40,0
39,88,78,54,0
34,59,84,86,1
27,73,71,86,1
23,24,51,68,0
24,92,88,52,0
34,84,83,52,1
28,61,83,64,0
25,61,53,44,0
36,94,41,82,1
26,80,48,80,1
22,34,78,33,0
13,22,68,50,1
13,29,47,42,0
27,62,40,65,0
34,74,49,65,1
30,68,48,61,0
26,84,79,70,0
27,79,76,65,0
23,54,50,59,0
35,91,43,58,1
33,73,82,77,0
38,92,63,70,0
22,95,57,71,1
36,68,81,53,0
21,98,57,50,1
30,99,67,57,1
31,62,81,64,1
17,37,82,31,1
23,62,62,52,1
19,61,77,57,1
20,42,64,35,1
21,90,90,58,1
21,98,79,81,1
27,66,44,71,0
35,80,63,52,1
31,77,65,50,1
24,47,45,48,0
23,46,47,63,0
21,70,59,50,0
29,54,58,31,0
40,94,67,72,1
31,59,63,73,1
26,42,76,36,0
17,38,86,33,0
23,68,82,79,1
31,56,88,54,0
40,54,45,52,0
24,79,87,79,1
28,68,90,33,0
28,25,46,58,0
16,36,53,52,0
33,100,56,72,0
20,29,77,53,0
30,25,42,30,0
26,90,53,53,0
30,80,46,80,0
31,69,85,64,1
29,63,63,53,0
26,32,59,47,0
13,63,81,69,0
25,54,78,60,1
20,84,45,78,1
28,82,68,56,1
29,67,46,63,0
40,78,44,59,0
20,76,71,83,0
24,60,90,65,0
27,67,69,49,0
27,26,62,40,0
28,83,73,52,0
21,77,58,88,1
